"tract","Name","Household_Income_rP_gP_pall"
36103111601,"East Northport, NY",66640
36059412000,"Lynbrook, NY",66629
36081064101,"Queens County, NY",66606
36047059402,"Kings County, NY",66584
36059405500,"Franklin Square, NY",66578
34039033500,"Union, NJ",66570
34039035600,"Rahway, NJ",66561
36085025100,"Richmond County, NY",66525
36081067100,"Queens County, NY",66518
36059300800,"Great Neck, NY",66517
36059303202,"Garden City Park, NY",66505
36085005900,"Richmond County, NY",66491
36047057600,"Kings County, NY",66469
36081059900,"Queens County, NY",66403
36005045102,"Bronx County, NY",66387
36059408300,"East Meadow, NY",66353
36081152901,"Queens County, NY",66327
36059302600,"Floral Park, NY",66318
36081157903,"Bellerose Manor, Floral Park, NY",66290
36081070700,"Queens County, NY",66287
34027043000,"Madison, NJ",66281
36059410700,"Valley Stream, NY",66264
36047005000,"Kings County, NY",66251
36081063700,"Queens County, NY",66246
36103135204,"Smithtown, NY",66240
34013016300,"Upper Montclair, Montclair, NJ",66232
36059413803,"Baldwin, NY",66230
36059406002,"West Hempstead, NY",66226
36059416201,"Island Park, NY",66225
36047041000,"Kings County, NY",66225
34039034800,"Linden, NJ",66194
36059414900,"North Bellmore, NY",66178
36059519100,"Hicksville, Hicksville, NY",66132
36061016300,"Upper West Side, New York, NY",66094
36061014401,"Upper East Side, New York, NY",66075
36119004400,"North Side, Mount Vernon, NY",66024
34017012400,"Kearny, NJ",66014
36081122300,"Queens County, NY",65994
36081067700,"Queens County, NY",65986
34031223802,"Totowa, NJ",65976
34013021801,"West Caldwell, NJ",65964
36061005400,"Midtown, New York, NY",65962
34013018000,"West Orange, NJ",65957
36119002405,"Dunwoodie, Yonkers, NY",65902
34039037500,"Springfield Township, NJ",65901
36081157902,"Queens County, NY",65900
36047065200,"Kings County, NY",65892
36059521301,"Massapequa, NY",65891
36059517802,"Locust Valley, NY",65872
36085017012,"Richmond County, NY",65870
36081144100,"Queens County, NY",65845
34013021100,"Verona, NJ",65835
36005011800,"Bronx County, NY",65828
34003019305,"Fort Lee, NJ",65806
36059413100,"Oceanside, NY",65798
34003031200,"Lyndhurst, NJ",65795
36047065600,"Kings County, NY",65765
34027040804,"Montville, NJ",65763
36103147003,"Bay Shore, NY",65751
34003017500,"Fair Lawn, NJ",65751
36081051100,"Queens County, NY",65706
36059519400,"Hicksville, Hicksville, NY",65658
36103135205,"Commack, NY",65632
34003051400,"Rutherford, NJ",65619
36047016500,"Kings County, NY",65573
36047005201,"Kings County, NY",65563
36059409300,"Levittown, NY",65491
36059408600,"Levittown, NY",65481
36081115100,"Queens County, NY",65463
36081074700,"Queens County, NY",65460
34023001902,"Edison, NJ",65422
34023001411,"Edison, NJ",65373
36059520600,"Farmingdale, NY",65364
34039033300,"Union, NJ",65297
36081075702,"Queens County, NY",65276
34003019304,"Fort Lee, NJ",65273
36005045101,"Bronx County, NY",65263
34003012002,"East Rutherford, NJ",65243
34013016500,"Montclair, NJ",65242
36047039000,"Kings County, NY",65233
36081129103,"Queens County, NY",65169
36085018902,"Richmond County, NY",65156
36103122300,"Farmingdale, NY",65144
36085014607,"Richmond County, NY",65128
36047064200,"Kings County, NY",65084
34023002402,"Colonia, Woodbridge Township, NJ",65080
36085017010,"Richmond County, NY",65077
36059411200,"Cedarhurst, NY",65035
36081094500,"Queens County, NY",64992
34023001502,"Edison, NJ",64978
34027041300,"Denville, NJ",64975
36081139900,"Queens County, NY",64972
36103111504,"Huntington, NY",64951
36085020803,"Richmond County, NY",64951
36085017011,"Richmond County, NY",64923
36059521100,"Massapequa, NY",64898
34035052100,"Dunellen, NJ",64892
36119005300,"Pelham, Village of Pelham, NY",64879
36059409200,"Levittown, NY",64826
36059301400,"Port Washington, NY",64819
36047005202,"Kings County, NY",64781
36047063800,"Kings County, NY",64772
36103134906,"Kings Park, NY",64763
36047057400,"Kings County, NY",64747
36081069702,"Queens County, NY",64730
36059409000,"Levittown, NY",64721
36005031400,"Bronx County, NY",64720
36085027705,"Richmond County, NY",64660
36081099704,"Queens County, NY",64605
36005030100,"Bronx County, NY",64592
36081069500,"Queens County, NY",64507
36081047600,"Queens County, NY",64500
34003038300,"North Arlington, NJ",64499
36081064500,"Queens County, NY",64485
34017012500,"Kearny, NJ",64427
34003045100,"Ridgefield, NJ",64415
36103135201,"Commack, NY",64406
34003037201,"New Milford, NJ",64364
36081065703,"Queens County, NY",64344
34027042600,"Florham Park, NJ",64312
36081063301,"Queens County, NY",64308
36059412200,"East Rockaway, NY",64279
36081060300,"Queens County, NY",64279
36119006600,"New Rochelle, NY",64222
34003002100,"Alpine, NJ",64217
36081066100,"Queens County, NY",64189
34023008800,"Piscataway Township, NJ",64170
34003028002,"Leonia, NJ",64147
36047055000,"Kings County, NY",64125
36085012805,"Richmond County, NY",64108
34039038601,"Scotch Plains, NJ",64097
36005028800,"Bronx County, NY",64076
34039037800,"Summit, NJ",64058
34003003402,"Bergenfield, NJ",64038
36059413001,"Oceanside, NY",63986
36059520501,"South Farmingdale, NY",63949
36059413700,"Baldwin, NY",63942
34039037200,"Cranford, NJ",63896
34003013001,"Edgewater, NJ",63825
36103111602,"East Northport, NY",63809
36081073100,"Queens County, NY",63785
36061015500,"Lincoln Square, New York, NY",63767
34003019306,"Fort Lee, NJ",63732
36059517102,"Glen Cove, NY",63681
36103112002,"Huntington Station, NY",63661
36061008603,"Midtown, New York, NY",63638
34003025100,"Hasbrouck Heights, NJ",63637
34039033600,"Kenilworth, NJ",63598
36085015603,"Richmond County, NY",63593
36061012000,"Lenox Hill, New York, NY",63591
36059520402,"Farmingdale, NY",63588
36047018600,"Kings County, NY",63582
34013013500,"Nutley, NJ",63580
36059409100,"Levittown, NY",63580
36081140300,"Queens County, NY",63579
36059409400,"Wantagh, NY",63558
34017019800,"Secaucus, NJ",63546
36085017600,"Richmond County, NY",63530
36103135208,"Commack, NY",63519
36081098100,"Queens County, NY",63484
34013016400,"Montclair, NJ",63473
36061012200,"Lenox Hill, New York, NY",63416
36085012100,"Richmond County, NY",63381
36059408900,"Levittown, NY",63375
36059410800,"Valley Stream, NY",63292
36059410000,"Valley Stream, NY",63245
36081161700,"Queens County, NY",63208
34013021702,"Caldwell, NJ",63188
34031124401,"Clifton, NJ",63126
34023002101,"Metuchen, NJ",63083
34013014000,"Belleville, NJ",63047
