"tract","Name","Household_Income_rP_gP_pall"
6037651201,"Seaside, Torrance, CA",55704
6037670701,"Rancho Palos Verdes, CA",55697
6059099309,"Huntington Beach, CA",55636
6037480202,"San Gabriel, CA",55579
6037276000,"Westchester, Los Angeles, CA",55577
6059099246,"Huntington Beach, CA",55576
6059032048,"Mission Viejo, CA",55550
6059110106,"Cypress, CA",55521
6037920326,"Valencia, Stevenson Ranch, CA",55511
6071007302,"Loma Linda, CA",55473
6071000804,"Upland, CA",55456
6059011718,"Placentia, CA",55399
6059110102,"La Palma, CA",55341
6059062614,"Irvine, CA",55341
6037555202,"El Dorado, Long Beach, CA",55289
6037143800,"Studio City, Los Angeles, CA",55281
6037401303,"Bonita, San Dimas, CA",55262
6059052424,"Lake Forest, CA",55221
6071002013,"Rancho Cucamonga, CA",55207
6059075702,"Tustin, CA",55176
6111005203,"Camarillo, CA",55173
6037651101,"Torrance, CA",55159
6037480703,"South Pasadena, CA",55133
6037137104,"Woodland Hills, Los Angeles, CA",55107
6111001700,"Ventura, CA",55086
6037108102,"Northridge, Los Angeles, CA",55081
6037269100,"Pico - Robertson, Los Angeles, CA",55066
6037408626,"Rowland Heights, CA",55063
6037143400,"Studio City, Los Angeles, CA",55023
6037403318,"Westmont, Pomona, CA",55004
6059063103,"East Side Costa Mesa, Costa Mesa, CA",55004
6037800406,"Malibu, CA",54971
6037571800,"Bixby Knolls, Long Beach, CA",54962
6037460000,"Hastings Ranch, Pasadena, CA",54939
6037700902,"Beverly Hills, CA",54908
6059052502,"Tustin, CA",54906
6059032030,"Mission Viejo, CA",54872
6037403316,"Westmont, Diamond Bar, CA",54858
6037276500,"Westchester, Los Angeles, CA",54834
6037216402,"Central LA, Los Angeles, CA",54802
6037301400,"El Miradero, Glendale, CA",54780
6037481800,"Alhambra, CA",54778
6037408625,"Hacienda Heights, CA",54765
6037403305,"Valle Lindo, Walnut, CA",54758
6071000108,"Chino Hills, CA",54748
6059052427,"Foothill Ranch, Lake Forest, CA",54735
6037500201,"East Whitter, La Habra Heights, CA",54735
6059099245,"Huntington Beach, CA",54734
6037430301,"Monrovia, CA",54690
6059052515,"Westpark, Irvine, CA",54690
6037650501,"West Torrance, Torrance, CA",54618
6059052418,"Woodbury, Irvine, CA",54612
6059099406,"Huntington Beach, CA",54608
6059001601,"Fullerton, CA",54603
6037574400,"Plaza, Long Beach, CA",54588
6037137501,"Woodland Hills, Los Angeles, CA",54575
6037651304,"Riviera, Redondo Beach, CA",54525
6037432000,"Temple City, CA",54476
6111005911,"Newbury Park, Thousand Oaks, CA",54469
6037267902,"Rancho Park, Los Angeles, CA",54467
6071009201,"Wrightwood, CA",54453
6037277000,"Westchester, Los Angeles, CA",54438
